"","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval"
"1","ebi-a-GCST005362","ebi-a-GCST90007526","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007526","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","MR Egger",3,0.265517070785182,0.463640599602385,0.668901714513662
"2","ebi-a-GCST005362","ebi-a-GCST90007526","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007526","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","Weighted median",3,-0.0134812526727985,0.0609791404970531,0.825030343238032
"3","ebi-a-GCST005362","ebi-a-GCST90007526","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007526","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","Inverse variance weighted",3,-0.0531672843864186,0.0535712191584923,0.320973253488889
"4","ebi-a-GCST005362","ebi-a-GCST90007526","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007526","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","Simple mode",3,0.00397327392042174,0.0788999111288629,0.964413782413087
"5","ebi-a-GCST005362","ebi-a-GCST90007526","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007526","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","Weighted mode",3,0.00283596108611942,0.0764538059008873,0.973779750526692
"6","ebi-a-GCST005362","ebi-a-GCST90007527","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007527","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","MR Egger",3,0.076009153395132,0.552571303667267,0.912975661998534
"7","ebi-a-GCST005362","ebi-a-GCST90007527","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007527","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","Weighted median",3,-0.0191397778366981,0.071331404360015,0.788451551530654
"8","ebi-a-GCST005362","ebi-a-GCST90007527","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007527","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","Inverse variance weighted",3,-0.0453351839533596,0.0568769760239022,0.425407798452678
"9","ebi-a-GCST005362","ebi-a-GCST90007527","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007527","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","Simple mode",3,0.00102405843006764,0.0924267119010213,0.99216572327108
"10","ebi-a-GCST005362","ebi-a-GCST90007527","Low hand grip strength (60 years and older) (EWGSOP) || id:ebi-a-GCST90007527","Attention deficit hyperactivity disorder || id:ebi-a-GCST005362","Weighted mode",3,0.00606122081697413,0.0884399018124146,0.951595305835797
